RN,AREA_NAME,TITLE,STAFF_DATE
1,湖南省,财政部关于推动解决政府采购异常低价问题的通知,2026-02-02
2,湖南省,关于印发《政府采购房屋租赁合同（示范文本）》的通知,2026-01-06
3,湖南省,湖南省财政厅关于印发《进一步规范省级预算单位小额零星采购管理指导意见》的通知,2026-01-06
4,湖南省,关于贯彻落实《国务院办公厅关于在政府采购中实施本国产品标准及相关政策的通知》的意见,2026-01-06
5,湖南省,一图读懂丨“整”“建”“促” 9项重点任务 明确未来三年湖南政府采购工作路线图,2026-01-05
6,湖南省,湖南省政府采购电子卖场将稳妥关停,2026-01-05
7,湖南省,平台升级公告,2025-12-26
8,湖南省,关于发布政府采购评审专家常见评审错误案例分析的公告（第一期）,2025-08-01
9,湖南省,平台升级公告,2025-07-05
10,湖南省,关于进一步规范小额零星采购活动的通知,2025-05-22
11,湖南省,湖南省财政厅关于加强集中采购工作的通知,2025-05-22
12,湖南省,关于开展新版政府采购评审专家系统业务培训的通知,2025-04-29
13,湖南省,平台升级公告,2025-04-29
14,湖南省,关于启用新版政府采购评审专家系统补充说明,2025-04-18
15,湖南省,关于启用新版政府采购评审专家系统的通知,2025-04-17
16,湖南省,平台升级公告,2025-04-16
17,湖南省,关于湖南省政府采购评审专家违法违规行为 及处理情况的通报（2025年）,2025-03-04
18,湖南省,平台升级公告,2025-01-13
19,湖南省,平台升级公告,2024-12-30
20,湖南省,平台升级公告,2024-12-19
21,湖南省,进一步优化采购代理机构管理的通知,2024-12-11
22,湖南省,平台升级公告,2024-12-03
23,湖南省,政府采购处从“夯实制度基础、强化内控执行、加强内控引领 ”三个方面加强内控建设,2024-11-27
24,湖南省,关于湖南省政府采购电子卖场停止提供“台式计算机”类目交易的通知,2024-11-18
25,湖南省,关于加强非预算单位非全流程项目管理的通知,2024-10-25
26,湖南省,平台升级公告,2024-10-18
27,湖南省,平台升级公告,2024-09-18
28,湖南省,平台升级公告,2024-09-11
29,湖南省,2022-2023年度省公共资源交易中心 集中采购工作考核结果公告,2024-08-20
30,湖南省,平台升级公告,2024-08-13
31,湖南省,2024年度政府采购评审专家选聘续聘工作开始啦！,2024-08-13
